"","v2.id_premise","v2.X","v2.Y","x","y","lon","lat"
"1","1",592962,9943867,592962,9943867,-80.164571182217,-0.507798380091517
"2","2",593729,9914079,593729,9914079,-80.1576346863466,-0.777269194315372
"3","3",593875,9913476,593875,9913476,-80.1563215579493,-0.782723855265339
"4","4",604807,9910181,604807,9910181,-80.058074571003,-0.812509588205134
"5","5",634972,9987844,634972,9987844,-79.7871296955286,-0.109954337520515
"6","6",645138,9988186,645138,9988186,-79.6957925826957,-0.106857086634385
"7","7",639171,9987846,639171,9987846,-79.7494030532828,-0.109934680073186
"8","8",627743,9991706,627743,9991706,-79.8520822520756,-0.0750232582070846
"9","9",635217,9988293,635217,9988293,-79.7849285970481,-0.105892923286872
"10","10",626138,9994701,626138,9994701,-79.8665036876666,-0.0479322706064178
"11","11",642941,9991208,642941,9991208,-79.7155324195413,-0.0795238592266466
"12","12",640708,9999640,640708,9999640,-79.7355960563226,-0.00325623453440618
"13","13",641926,9995113,641926,9995113,-79.7246525292272,-0.0442031953054384
"14","14",649851,9986897,649851,9986897,-79.6534488418172,-0.118513991943358
"15","15",646997,9984334,646997,9984334,-79.6790888724199,-0.141697295392439
"16","16",624236,9992694,624236,9992694,-79.8835928209807,-0.0660870415556893
"17","17",622622,9986086,622622,9986086,-79.8980927920931,-0.125860884433912
"18","18",608491,9919223,608491,9919223,-80.0249873731108,-0.730707945248247
"19","19",611106,9927046,611106,9927046,-80.0015035072801,-0.65993653885026
"20","20",606597,9927166,606597,9927166,-80.0420216825999,-0.658859037242176
"21","21",615724,9980804,615724,9980804,-79.9600703693894,-0.173643430139191
"22","22",610330,9967962,610330,9967962,-80.008529360785,-0.289814122726605
"23","23",609904,9965978,609904,9965978,-80.0123555863923,-0.30776164019739
"24","24",612964,9966615,612964,9966615,-79.9848605131336,-0.3019968147446
"25","25",614313,9970141,614313,9970141,-79.9727419981956,-0.270100009840644
"26","26",601848,9968573,601848,9968573,-80.0847457326552,-0.284293384011496
"27","27",609368,9955623,609368,9955623,-80.0171619562744,-0.401433109300073
"28","28",609368,9956540,609368,9956540,-80.0171629364348,-0.393137955452581
"29","29",642770,9927748,642770,9927748,-79.7169870802494,-0.653521249643384
"30","30",649610,9929540,649610,9929540,-79.6555342824628,-0.637296795034078
